Country,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7
ABW,-1.0663521556003697,-0.9516513304005282,-41.8035783032472,-11.973798645030588,0.4718176586908429,9.461448414106165,0.012489882846150874
AFG,0.4869671476643411,-0.9328525635680942,-1.7275819904166267,0.5117047793089746,0.05107675271136536,-2.3197895659898604,0.0001221080381546046
AGO,-1.8752025979212439,1.583806539108522,-0.46055605007754297,-4.823862935846779,-0.17373780040328413,-2.455746961879701,0.00047594535346309844
ALB,0.31349452732365446,-0.8913621495037743,-1.0306880141421115,0.020458389978572633,0.03864499884478345,-1.9615268466643188,0.0003629606956186126
ARE,-0.19811740287494217,4.831594313659016,-1.1440157851168031,-1.0308726760431375,-0.10938989787283582,-1.7531396013934053,0.0022634492313282793
ARG,-0.02709671943181835,11.040476444432022,-6.907230711271417,-6.694535201368012,-0.026068039228321904,-0.26186187369319214,0.0009571308055734216
ARM,0.3632093998773511,-0.8958380670729454,-0.6615634474717025,-0.1266966570150907,0.054365679493284524,-2.1325798808977003,0.0007822350732548214
ATG,-1.7217640986536553,-0.8963259808912466,-47.93141644308794,-15.28357876391231,1.7099510413552288,13.567817866974409,0.0316253230414292
AUS,-0.2050400377037298,1.7003650384591407,-3.7592964184251176,-5.063167356064479,-0.0633055578111219,-1.8067376227447474,0.0010508055471425907
AUT,-0.23866731734951685,148.18154466483523,-2.339904433737372,-1.5176918176762921,-0.09317514452531483,-2.0997894568406728,0.0006706709683356111
AZE,-0.35402307779197617,0.9929635927652734,0.28027974854447635,-0.3676265273487078,-0.004089435051701784,-2.039374730664767,0.0003271755397299551
BDI,0.3315471336002407,-0.9209775744140516,-0.1564932660308327,0.7323249601674187,0.0433773435596585,-2.1185165794285865,6.461687714275165e-05
BEL,-0.4175950549802909,4.35300437877504,-2.3666037122145656,-1.5620723099990186,-0.20519245839500933,-1.1117543307777367,0.0027615503090703815
BEN,0.28037524943298475,-0.9642088817204023,-3.59733290335027,-0.7696637103912662,0.047790320746132764,-1.573060521520453,0.0008696624097306301
BFA,-0.2065282755790654,1.0351750911547326,-0.09876133254211883,-0.63446590315277,-0.008285725232648478,-1.9086837059278938,0.00044865676381438145
BGD,-0.06624062099940264,8.103031350071111,-7.432995679195031,-3.43626313587978,-0.05758974671700168,-2.901874988147035,0.0002564904125248071
BGR,0.005392250553915012,4.000743171662339,-0.7189720258514165,-0.31152190785688205,-0.01833326508702271,-2.05613945111105,0.00029418501645812493
BHR,-0.11309380452700912,28.540944272784824,-2.3803354662628173,-2.109957424699105,-0.06286652574108986,-1.4861673474964254,0.0014923951158589987
BHS,-1.3578371187314753,0.5299374341787889,-42.43099719570247,-17.824927563627348,0.5754355197012506,9.640722282744395,0.024263762715793887
BIH,0.26178556400411335,-0.5459459720907425,-1.3663763883716151,-0.376388531158367,0.016005461512791364,-1.8983113986592026,0.0007186736078790755
BLR,0.25835989966747075,-0.9102398105051476,-0.43105672194624356,0.5729366386965973,0.027400300679447653,-2.4177160359568184,1.0960986238803052e-05
BLZ,-1.1733340704869422,-0.45302875991755304,-25.64283287348892,-9.614170803663491,0.311834822347401,5.536027700615342,0.01209633100865428
BMU,-0.37572199268169904,-0.9406059415406253,-27.764138338569712,-9.683439925332959,0.08931165725099,4.808433613399599,0.004178124273332223
BOL,0.03327303367537393,2.982640840063204,-1.7597985910249636,-1.743343263754471,-0.004259512431314949,-0.9336259446415918,0.0008910089518224181
BRA,-0.12184278227214129,2.812846469215032,-5.788646931050034,-7.3906124811348946,-0.056243388957089024,-0.9745403161334321,0.001088646777044644
BRB,-0.554081519153593,-0.6879800162047035,-24.300705804797097,-9.897565098062188,0.22682700014491353,6.82908057204108,0.00707863051965042
BRN,-0.5711058532377411,1.8523390466371612,-0.37581263529146147,-0.7054313558217395,-0.06871313785747901,-2.2416428874594607,0.0007069584517590446
BTN,0.544023385309611,-0.9781827440299607,-0.29309465442917126,0.7514111147026714,0.06467902049092089,-2.519989852299931,5.085224524017024e-05
BWA,-0.24516980056112914,102.9585582580335,-2.560380956406705,-1.5415391159948943,-0.09097226936858327,-2.4375463188607616,0.00022973245082493502
CAF,0.11202994677623757,-0.9241703806683302,-1.5233122142027433,-0.5096732336415721,0.015175926886068503,-1.7061469701467158,0.0002769794936555552
CAN,-1.0391587257948087,232.4324944003282,-31.67307116536513,-27.529422806540705,-0.4626502919923725,3.3514441540545947,0.009620422380714767
