Country,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7
CPV,1.5524118000297626,-0.4522023508428088,-1.4172809804385178,2.8303568116351263,0.18373958214712438,-4.227039378583486,0.0
CRI,-0.5549432362091933,-4.1533347374280645,-4.201234908857354,-4.128740734607106,-0.19609166560440316,-0.6246227503658996,0.0
CUW,-0.5492633802421709,-0.4502146827345209,-14.080603925011836,-3.697705798625972,-0.2210942793075099,-0.20839310013661683,0.0
CYM,0.13400320774745733,-0.4359400263535224,-10.621482783986892,-1.3288830758029113,-0.09980006240406514,-1.4744933960722406,0.0
CYP,1.5735939241713126,-0.34676546787455365,-1.873153524421145,1.7960234960719967,0.16148518118326294,-4.3829783338453225,0.0
CZE,-0.40666483802630493,2.3346843844762284,0.02816636399540773,-0.21560743345442335,-0.01642380287971701,-4.766609744830985,0.0
DEU,-0.7331843767228174,4.1803839924796975,-1.577184941341403,-2.032217810818382,-0.13607987772198404,-4.600388676623524,0.0
DJI,4.3761289438886575,-0.43177600328609894,-2.401772148679593,2.9899755417306606,0.6254402964106731,-5.413740405841705,0.0
DMA,0.6823407638039569,-0.4360778444580268,-1.2080963727525318,1.0529643305607017,0.08040463013962995,-1.9197632582517055,0.0
DNK,-0.12322349001451238,16.76959865964506,-1.9268159518321726,-1.1431034905000415,-0.07022622889881758,-4.591604245351554,0.0
DOM,-0.4230036622577149,-0.4136461018426251,-7.075949859251784,-3.221051914646156,-0.13378154345373705,0.10677051053173958,0.0
DZA,-0.5664030031389045,2.8828784376233285,-0.7969789752346523,-1.9210921632454858,-0.06812106189035827,-4.920362452245241,0.0
ECU,-0.8260536520874884,-1.5585492992265093,-2.300654400373603,-4.21887347428711,-0.20821416317722274,-2.4745964843955415,0.0
EGY,0.6500412200327599,-0.6475431906827002,-0.7211147096524151,1.2178293537499663,0.06331094948370808,-4.3242315551041415,0.0
ERI,-0.6141135572518941,0.4062762714483263,-2.0002955752839724,-3.070817306311835,-0.1308341160756732,-5.102051315906431,0.0
ESP,0.11354662071552113,1.797212548252589,-1.6072741905305055,-0.5907136232573329,-0.02780617687558884,-4.341887060463245,0.0
EST,0.4236608520694851,0.8605998783055555,-0.8425291442338279,0.10332955578080671,-0.004316482327215709,-4.658291666037561,0.0
ETH,0.42673331453617624,-0.5667424796920622,-0.891457238045712,2.312471642679226,0.04610959429847128,-4.077589519113623,0.0
FIN,-0.3351598832043723,10.652116942720378,-1.8178590828572982,-1.5337006267195807,-0.08539213407413593,-4.704463038395734,0.0
FJI,1.6837133314407504,1.3972648001026675,-19.264562679092034,-0.6992201235232587,-0.11433005633948445,-5.389126876032679,0.0
FRA,0.1769125818506634,1.53946663853571,-2.434275154291221,-0.7885250186458914,-0.028433704203678634,-4.455057614121194,0.0
FSM,-2.9176617819333006,0.3429989712211352,-6.750742543426169,-12.489616512766489,-0.67878716463039,-3.3340422615080634,0.0
GAB,-5.488967822021717,0.32077149454520937,1.4677886093333647,-4.893437978436954,-0.38666511386049596,-4.579494757730862,0.0
GBR,0.4229518346187344,-1.126443295164296,-0.8138962852427101,0.495185594315406,0.03003286507594627,-3.8138871691812737,0.0
GEO,0.8761014071878348,-0.45962551584655215,-5.900726339885787,0.5226380604906433,0.04713503115598705,-3.187974875014843,0.0
GHA,0.298764912777183,-4.3755073376537155,1.2205940502135304,1.136211738019366,0.05583402865190212,-4.714777998053288,0.0
GIN,-11.623529017566447,0.42542328305324173,1.8623459129505582,-5.34187411607564,-0.5345407915351208,-4.579495659971999,0.0
GMB,1.1812960265066508,-0.43623305947265223,-0.20608405442867905,1.194868420587647,-0.13973723475386723,-4.92718932300773,0.0
GNB,1.2798195611117613,-0.4345254811992983,-3.2367011172795945,2.4795176156885868,0.13746500269655737,-4.430257402077109,0.0
GNQ,-4.903662953733323,0.3842898322278942,3.0516562410592973,-8.02405199209738,-0.3008543571763833,-4.897583232233849,0.0
